name,registry_type,registry_id,registry_court,structure,list_index,list_date_day,list_date_month,list_date_year
Europe SAN GmbH,HRB,74743,Köln,Gesellschaft mit beschränkter Haftung,0,17,04,2013
Europe SAN GmbH,HRB,74743,Köln,Gesellschaft mit beschränkter Haftung,1,14,02,2012
tv square GmbH,HRB,95169,Frankfurt am Main,Gesellschaft mit beschränkter Haftung,0,07,02,2013
tv square GmbH,HRB,95169,Frankfurt am Main,Gesellschaft mit beschränkter Haftung,1,16,11,2012
Augenschmaus UG (haftungsbeschränkt),HRB,145494,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,0,29,10,2012
boutique of house GmbH,HRB,13723,Bochum,Gesellschaft mit beschränkter Haftung,0,29,12,2011
Daco Systems Deutschland GmbH,HRB,141055,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,0,20,02,2012
Daco Systems Deutschland GmbH,HRB,141055,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,1,,,
Rautenschlein Fonds GmbH,HRB,203725,Braunschweig,Gesellschaft mit beschränkter Haftung,0,20,08,2012
TS Brandschutz GmbH,HRB,24276,Essen,Gesellschaft mit beschränkter Haftung,0,03,05,2019
TS Brandschutz GmbH,HRB,24276,Essen,Gesellschaft mit beschränkter Haftung,1,11,02,2019
TS Brandschutz GmbH,HRB,24276,Essen,Gesellschaft mit beschränkter Haftung,2,11,01,2016
TS Brandschutz GmbH,HRB,24276,Essen,Gesellschaft mit beschränkter Haftung,3,07,12,2012
Darwin Development Company GmbH,HRB,10047,Arnsberg,Gesellschaft mit beschränkter Haftung,0,,,
Darwin Development Company GmbH,HRB,10047,Arnsberg,Gesellschaft mit beschränkter Haftung,1,,,
TKD GmbH,HRB,74507,Köln,Gesellschaft mit beschränkter Haftung,0,07,02,2019
TKD GmbH,HRB,74507,Köln,Gesellschaft mit beschränkter Haftung,1,19,01,2012
MGF Metallguss Finsterwalde GmbH,HRB,9118,Cottbus,Gesellschaft mit beschränkter Haftung,0,01,10,2018
MGF Metallguss Finsterwalde GmbH,HRB,9118,Cottbus,Gesellschaft mit beschränkter Haftung,1,02,03,2018
MGF Metallguss Finsterwalde GmbH,HRB,9118,Cottbus,Gesellschaft mit beschränkter Haftung,2,26,06,2015
MGF Metallguss Finsterwalde GmbH,HRB,9118,Cottbus,Gesellschaft mit beschränkter Haftung,3,12,02,2015
MGF Metallguss Finsterwalde GmbH,HRB,9118,Cottbus,Gesellschaft mit beschränkter Haftung,4,19,09,2012
