firm;hrid;hrsection;city;year
Wurster Verwaltung GmbH & Co. KG;HRA 2391;HRA;Nürtingen;2002
XXL-Palace-GmbH;HRB 5327;HRB;Nürtingen;2002
Management-Vorrats GmbH geändert in: H.S. Management GmbH;HRB 5387;HRB;Nürtingen;2002
Wurster Beteiligung GmbH;HRB 5474;HRB;Nürtingen;2002
Schlatter Gerüstbau und Hebetechnik GmbH;HRB 5514;HRB;Nürtingen;2002
Active Projekt GmbH;HRB 3895;HRB;Oberhausen;2002
Leo Feinwerktechnik GmbH & Co. KG;HRA 9917;HRA;Offenbach am Main;2002
P. O. S. Advance GmbH;HRB 12 307;HRB;Offenbach am Main;2002
medfein Entwicklungs- und Handels-GmbH;HRB 12 325;HRB;Offenbach am Main;2002
Sanierungsunion Mess- und Überprüfungsservice Rhein/Main GmbH;HRB 12 331;HRB;Offenbach am Main;2002
c.a.r.u.s.Information Technology Rhein-Main;HRB 12 334;HRB;Offenbach am Main;2002
MIDIGITAL GmbH;HRB 12 441;HRB;Offenbach am Main;2002
Fiebes in Company Personalmarketing GmbH Obertshausen;HRB 12 546;HRB;Offenbach am Main;2002
Imtec GmbH Innovative Manufacturing Technology;HRB 40 004;HRB;Offenbach am Main;2002
TT Logistik Gesellschaft mit beschränkter Haftung;HRB 40 078;HRB;Offenbach am Main;2002
RE Investors GmbH;HRB 40 087;HRB;Offenbach am Main;2002
LGS Lottogemeinschaft GmbH;HRB 2195;HRB;Offenburg;2002
Frutima Fruchthandel und Logistik GmbH;HRB 582;HRB;Offenburg;2002
PPG-Planungs- und Projektentwicklungsgesellschaft mbH & Co. Rüschenweg KG;HRA 3853;HRA;Oldenburg (Oldenburg);2002
OBIC 110 GmbH & Co. KG;HRA 3969;HRA;Oldenburg (Oldenburg);2002
cream music productions GmbH;HRB 5117;HRB;Oldenburg (Oldenburg);2002
Digitalverlag GmbH;HRB 5128;HRB;Oldenburg (Oldenburg);2002
STEU 41 GmbH;HRB 5254;HRB;Oldenburg (Oldenburg);2002
Weiß GmbH & Co. KG;HRA 3836;HRA;Oldenburg (Oldenburg);2002
BCS Bio Cleaning Systems GmbH;HRB 5166;HRB;Oldenburg (Oldenburg);2002
Betriebsgesellschaft Am Wasser Kraus GmbH;HRB 1255;HRB;Oldenburg (Oldenburg);2002
Gesellschaft für geriatrische Fachpflege mbH;HRB 1295;HRB;Oldenburg (Oldenburg);2002
Rink & Bettig GmbH & Co. KG;HRA 777;HRA;Olpe;2002
Rink & Bettig Verwaltungs-GmbH;HRB 1219;HRB;Olpe;2002
Equal Integrationsverbund in Südwestfalen GmbH;HRB 1229;HRB;Olpe;2002
Anlagevermögensverwaltung Potts GmbH & Co. KG;HRA 6849;HRA;Osnabrück;2002
IMEX TRADE Handelsgesellschaft mbH & Co. KG Dienstleistungsgesellschaft;HRA 6938;HRA;Osnabrück;2002
Omni Vital GmbH & Co. KG;HRA 7041;HRA;Osnabrück;2002
Dreiundzwanzigste WMS Verwaltungs GmbH;HRB 19 674;HRB;Osnabrück;2002
BioConstruct Gesellschaft zur Errichtung von Umweltfreundlichen Energieerzeugungsanlagen mbH;HRB 19 860;HRB;Osnabrück;2002
QUAK Vermögensverwaltungs GmbH;HRB 19 926;HRB;Osnabrück;2002
HR-Bau Gesellschaft mit beschränkter Haftung;HRB 19 995;HRB;Osnabrück;2002
Billy Back GmbH;HRB 20 046;HRB;Osnabrück;2002
AMS Arbeitsmarkt und Stellenservice GmbH;HRB 20 061;HRB;Osnabrück;2002
JOB-SERVICE Fuchs GmbH;HRB 20 104;HRB;Osnabrück;2002
Omni Vital-Verwaltungs GmbH;HRB 20 211;HRB;Osnabrück;2002
OM Osnabrücker Mörtelwerk GmbH;HRB 20 223;HRB;Osnabrück;2002
Metallium Marketing GmbH;HRB 20 238;HRB;Osnabrück;2002
STG Einhundertste Vermögensverwaltungs- und Beteiligungsgesellschaft mbH;HRB 20 264;HRB;Osnabrück;2002
Olivenhandel van den Berg GmbH;HRB 20 612;HRB;Osnabrück;2002
HKS Netzwerksysteme GmbH & Co. KG;HRA 2570;HRA;Paderborn;2002
Brockmann Wind GmbH & Co. KG Salzkotten;HRA 2580;HRA;Paderborn;2002
Gödde Malermeister GmbH;HRB 4001;HRB;Paderborn;2002
SolarPowerTower GmbH;HRB 4043;HRB;Paderborn;2002
HKS Beteiligungs GmbH;HRB 4050;HRB;Paderborn;2002
Stummer GmbH;HRB 4056;HRB;Paderborn;2002
Holz Schiermeier KG;HRA 11 415;HRA;Passau;2002
F.Jos.Huber GmbH & Co. KG;HRA 11 430;HRA;Passau;2002
Gebäude-Projektgruppe Schuster GmbH & Co. KG;HRA 11 445;HRA;Passau;2002
Kultur: Land Neuschönau GmbH;HRB 1365;HRB;Passau;2002
F. Jos. Huber Verwaltungsgesellschaft mbH;HRB 6207;HRB;Passau;2002
Huber Beteiligungsgesellschaft mbH;HRB 6208;HRB;Passau;2002
ACHALDAN Consulting GmbH;HRB 6212;HRB;Passau;2002
Schuster Beteiligungs GmbH;HRB 6297;HRB;Passau;2002
FANTY - G & T Wasser- und Straßentransportspeditions GmbH;HRB 6306;HRB;Passau;2002
Zirkus Pur GmbH Bad Griesbach;HRB 853;HRB;Passau;2002
Theilmann & Breitsprecher GmbH & Co. KG;HRA 3713;HRA;Pforzheim;2002
Moser + Pfeil GmbH + Co.KG;HRA 3751;HRA;Pforzheim;2002
Schaefer & Wunsch Grundstücksgesellschaft Kirchenstraße GmbH & Co. KG;HRA 3777;HRA;Pforzheim;2002
Direkt 2002 GmbH & Co. Beteiligungs KG;HRA 3778;HRA;Pforzheim;2002
G & I Stößer GmbH;HRB 5200;HRB;Pforzheim;2002
Theilmann & Breitsprecher Beteiligungen GmbH;HRB 5218;HRB;Pforzheim;2002
CMV Steck GmbH;HRB 5239;HRB;Pforzheim;2002
Schmerzzentrum Pforzheim GmbH;HRB 5250;HRB;Pforzheim;2002
Kis Kadi + Co. GmbH;HRB 5253;HRB;Pforzheim;2002
isocont GmbH;HRB 5258;HRB;Pforzheim;2002
J. Chevalier Uhren GmbH;HRB 5322;HRB;Pforzheim;2002
Direkt 2002 Verwaltungs GmbH;HRB 5384;HRB;Pforzheim;2002
CMK II Vermögensverwaltungs GmbH;HRB 5390;HRB;Pforzheim;2002
Kubbe Engineering-und Anlagenbau GmbH & Co KG;HRA 4381;HRA;Pinneberg;2002
SPAR Convenience & Systemkunden GmbH & Co. KG;HRA 4411;HRA;Pinneberg;2002
Strom aus Wind GmbH & Co. Windpark Wutzetz KG;HRA 4414;HRA;Pinneberg;2002
Ber-Bek Wolfram Gantert;HRA 4430;HRA;Pinneberg;2002
51. HANSA Vermögensverwaltungsgesellschaft mbH;HRB 5435;HRB;Pinneberg;2002
Zweiradhaus Lahn GmbH;HRB 5468;HRB;Pinneberg;2002
Kubbe Engineering und Anlagenbau GmbH;HRB 5502;HRB;Pinneberg;2002
ITM worldwide Logistics GmbH;HRB 5574;HRB;Pinneberg;2002
Baustoffhandel Elmshorn GmbH;HRB 5576;HRB;Pinneberg;2002
ORMOCAR Reisemobil GmbH;HRB 3492;HRB;Pirmasens;2002
t-s-i.de Misch- und Dosiertechnik GmbH;HRB 3509;HRB;Pirmasens;2002
B-A-C GmbH;HRB 3542;HRB;Pirmasens;2002
VOGEL Energietechnik GmbH;HRB 3546;HRB;Pirmasens;2002
41. MVB Beteiligungsgesellschaft mbH;HRB 674;HRB;Plettenberg;2002
CD Vermögensvorrats-GmbH;HRB 2433;HRB;Plön;2002
FTW TouristicWare GmbH;HRB 2473;HRB;Plön;2002
geometa GmbH & Co. KG;HRA 2999;HRA;Potsdam;2002
Erste DC Immobilien GmbH & Co. Projekt Frankfurt-Kriegkstraße KG;HRA 3016;HRA;Potsdam;2002
Lidl Vertriebs-GmbH & Co. KG;HRA 3049;HRA;Potsdam;2002
Dritte DC Immobilien GmbH & Co. Projekt Dortmund KG;HRA 3104;HRA;Potsdam;2002
Pinguin Fahrdienst KG;HRA 3121;HRA;Potsdam;2002
Catamount Wind DE 3 GmbH & Co. KG;HRA 3189;HRA;Potsdam;2002
Falken Trockenbau GmbH;HRB 15 592;HRB;Potsdam;2002
Havelfrucht GmbH;HRB 15 598;HRB;Potsdam;2002
input Kandlinger GmbH;HRB 15 621;HRB;Potsdam;2002
MKT GmbH MAUER-und KELLERTROCKENLEGUNG;HRB 15 642;HRB;Potsdam;2002
Baugeschäft Klotzsch GmbH;HRB 15 701;HRB;Potsdam;2002
Pro Bau GmbH;HRB 15 758;HRB;Potsdam;2002
AAI Abriss Altbausanierung GmbH;HRB 15 800;HRB;Potsdam;2002
IWE Ingenieurbüro Elsaßer GmbH;HRB 15 873;HRB;Potsdam;2002
AKKUS Fleischgroßhandel und Dönerproduktion GmbH;HRB 15 879;HRB;Potsdam;2002
ELKa Sechste Vermögensverwaltungs GmbH;HRB 15 941;HRB;Potsdam;2002
GO Fenster Türen GmbH;HRB 15 975;HRB;Potsdam;2002
Ste Rü Tex GmbH;HRB 16 042;HRB;Potsdam;2002
ELKOSAR GmbH;HRB 16 048;HRB;Potsdam;2002
KMB GmbH;HRB 16 064;HRB;Potsdam;2002
RT WOHNPUNKT GmbH;HRB 16 131;HRB;Potsdam;2002
Aktiv + Sozial GmbH;HRB 16 191;HRB;Potsdam;2002
AIKA Stahlarmierung GmbH;HRB 16 205;HRB;Potsdam;2002
Ambulante Physiotheraphie im Oberlinhaus GmbH;HRB 16 210;HRB;Potsdam;2002
Queißer GmbH;HRB 16 259;HRB;Potsdam;2002
Wiesenburger Marktfrucht GmbH;HRB 16 274;HRB;Potsdam;2002
Landgut Wiesenburg GmbH;HRB 16 356;HRB;Potsdam;2002
Spezialbau BBS GmbH;HRB 16 372;HRB;Potsdam;2002
Polaris Filmproduktion GmbH;HRB 16 379;HRB;Potsdam;2002
S & H Service GmbH;HRB 16 410;HRB;Potsdam;2002
BB Baudienstleistungs GmbH;HRB 16 415;HRB;Potsdam;2002
In den Birken & Co. GmbH;HRB 1849;HRB;Rahden;2002
Lidl Vertriebs-GmbH & Co. KG;HRA 1198;HRA;Rastatt;2002
Kolman & Haberland GmbH;HRB 2162;HRB;Rastatt;2002
BOBB-CAD GmbH Ingenieurbüro für Planung und Konstruktion;HRB 2173;HRB;Rastatt;2002
ej consult GmbH;HRB 288;HRB;Rastatt;2002
Global Marketing Network GmbH;HRB 3657;HRB;Ratingen;2002
Accent Consult GmbH;HRB 3662;HRB;Ratingen;2002
target system consulting GmbH;HRB 3680;HRB;Ratingen;2002
Funatics Software GmbH;HRB 3690;HRB;Ratingen;2002
Tobacco Industry Consult Inh. Christian Hertz eingetragener Kaufmann;HRA 1271;HRA;Ratzeburg;2002
TIC Tobacco Industry Consult GmbH;HRB 1480;HRB;Ratzeburg;2002
A.D. Stolt GmbH;HRB 1482;HRB;Ratzeburg;2002
Ernst Barlach Verwaltungsgesellschaft mbH;HRB 1492;HRB;Ratzeburg;2002
Theodor Wölpert GmbH & Co. Zweigniederlassung Bad Waldsee;HRA 321-BW.;HRA;Ravensburg;2002
StadlerTreppen GmbH & Co. KG;HRA 775-S.;HRA;Ravensburg;2002
MJ Produkte Vertriebs GmbH;HRB 2426;HRB;Ravensburg;2002
Concept Company Marketing- und Produktentwicklung GmbH;HRB 2439;HRB;Ravensburg;2002
Dornahof Integrationsbetriebe gGmbH;HRB 2463;HRB;Ravensburg;2002
Stadler Verwaltung GmbH;HRB 749-S.;HRB;Ravensburg;2002
Miltz GmbH;HRB 960;HRB;Ravensburg;2002
AS Trockenbau GmbH & Co. KG;HRA 3538;HRA;Recklinghausen;2002
Schupke Consulting AG;HRB 4792;HRB;Recklinghausen;2002
"Oppelner Industriebauunternehmen Nr. 1 Jedynka S.A. Zweigniederlassung Deutschland des Opolskie Przedsiebiorstwo Budownictwa Przemyslowego Nr. 1 ""Jedy";HRB 4806;HRB;Recklinghausen;2002
Sixt European Holding GmbH;HRB 4822;HRB;Recklinghausen;2002
AGR Entsorgung GmbH;HRB 4838;HRB;Recklinghausen;2002
YALCIN Logistik-Service GmbH;HRB 4859;HRB;Recklinghausen;2002
BIG STORE GmbH;HRB 4860;HRB;Recklinghausen;2002
PROMAX GmbH;HRB 8458;HRB;Regensburg;2002
InSym Beratungsgesellschaft mbH;HRB 8506;HRB;Regensburg;2002
Unternehmensgruppe Dr. Wühr GmbH;HRB 8507;HRB;Regensburg;2002
S-Refit AG;HRB 8641;HRB;Regensburg;2002
Dr. Bardens & Co GmbH;HRB 8666;HRB;Regensburg;2002
REFLEX GmbH;HRB 8737;HRB;Regensburg;2002
Rupp GmbH;HRB 8744;HRB;Regensburg;2002
speech experts - Gesellschaft für innovative Sprachtechnologie mbH;HRB 8759;HRB;Regensburg;2002
VK Leasing Verwaltungs-GmbH;HRB 8817;HRB;Regensburg;2002
KEOPS SRL;HRB 8837;HRB;Regensburg;2002
Impala Bau GmbH;HRB 4010;HRB;Reinbek;2002
KLAISS Kälte - Klima KG;HRA 2875;HRA;Remscheid;2002
Goldmund und Sohn GmbH & Co. KG;HRA 2885;HRA;Remscheid;2002
Goldmund Verwaltungs-GmbH;HRB 2594;HRB;Remscheid;2002
Hehl Elektronik GmbH;HRB 2640;HRB;Remscheid;2002
Karsten Groth GmbH & Co. KG;HRA 1669;HRA;Rendsburg;2002
Pfennigfuchser Petersen/Wyrellus OHG;HRA 1674;HRA;Rendsburg;2002
KL Tischlerei GmbH & Co. KG;HRA 1683;HRA;Rendsburg;2002
Rohwer Thomsen Pflanzenvertrieb GmbH & Co. KG;HRA 1684;HRA;Rendsburg;2002
Karsten Groth Beteiligungsgesellschaft mbH;HRB 2360;HRB;Rendsburg;2002
softdevel GmbH;HRB 2368;HRB;Rendsburg;2002
WW Dachdeckerei GmbH;HRB 2371;HRB;Rendsburg;2002
V.P.S. Vertriebsgesellschaft für Elektrotechnik GmbH;HRB 2408;HRB;Rendsburg;2002
KL Verwaltungs GmbH;HRB 2423;HRB;Rendsburg;2002
Fünfte RKS Shipping Verwaltungsgesellschaft mbH;HRB 2446;HRB;Rendsburg;2002
HCO Verwaltungsgesellschaft mbH;HRB 2449;HRB;Rendsburg;2002
Apollo 11 GmbH;HRB 1315;HRB;Reutlingen;2002
Werner Schmid Spedition GmbH Reutlingen;HRB 4062;HRB;Reutlingen;2002
CleverTronic GmbH;HRB 4134;HRB;Reutlingen;2002
Bohmeier Möbelteile GmbH;HRB 3106;HRB;Rheda-Wiedenbrück;2002
Reker-Nuts Handels GmbH;HRB 3160;HRB;Rheda-Wiedenbrück;2002
CONMOTO-Shop GmbH;HRB 3189;HRB;Rheda-Wiedenbrück;2002
LogPac oHG Gesellschaft für Logistik- und Verpackungsdienstleistungen;HRA 488;HRA;Rheinbach;2002
HGM Engineering GmbH;HRB 1139;HRB;Rheinbach;2002
Eiltank 35 GmbH & Co. KG;HRA 1666;HRA;Rheinberg;2002
Betreibergesellschaft Bürgerwindräder Rheinberg mbH;HRB 2667;HRB;Rheinberg;2002
Marbach Kälte-und Klimatechnik GmbH;HRB 2708;HRB;Rheinberg;2002
Brambosch und Schayen Verwaltungsgesellschaft mbH;HRB 2721;HRB;Rheinberg;2002
Eiltank 35 Verwaltungs GmbH;HRB 2729;HRB;Rheinberg;2002
Laukötter Malerfachbetrieb GmbH & Co. KG;HRA 1783;HRA;Rheine;2002
Stolze - Dr. Diers - Beermann GmbH Wirtschaftsprüfungsgesellschaft Steuerberatungsgesellschaft;HRB 2332;HRB;Rheine;2002
Windhoff Wassertechnik GmbH;HRB 2352;HRB;Rheine;2002
Stolze - Dr. Diers - Beermann GmbH Wirtschaftsprüfungsgesellschaft Steuerberatungsgesellschaft Zweigniederlassung Rheine;HRB 2356;HRB;Rheine;2002
Wohnpark Kettelerufer Verwaltungs-GmbH;HRB 2364;HRB;Rheine;2002
Arzneimittel GmbH & Co. KG BIOIMUN;HRA 2077;HRA;Rostock;2002
Deutsche Immobilien 5. Verwaltungsgesellschaft mbH;HRB 8989;HRB;Rostock;2002
Reifen Freese GmbH;HRB 9029;HRB;Rostock;2002
Wellmann Restaurantbetriebe GmbH;HRB 9055;HRB;Rostock;2002
Köpcke Beteiligungs GmbH;HRB 9117;HRB;Rostock;2002
K.P. Jorck Pflaster und Steinsetz GmbH;HRB 9126;HRB;Rostock;2002
GERBA Gesellschaft für Planung Entwicklung und Bauorganisation GmbH;HRB 9166;HRB;Rostock;2002
Fubo Fußbodenservice Tessin GmbH;HRB 9269;HRB;Rostock;2002
"Reederei ""STEPHANI"" GmbH";HRB 9294;HRB;Rostock;2002
Schopper Besitzgesellschaft mbH & Co. KG;HRA 8794;HRA;Saarbrücken;2002
Horten Verwaltungs- GmbH & Co. Objekt Hamburg KG;HRA 8875 ;HRA;Saarbrücken;2002
Lidl Vertriebs-GmbH & Co. KG;HRA 8885 ;HRA;Saarbrücken;2002
Capital Consult Saarlouis GmbH;HRB 12 603;HRB;Saarbrücken;2002
TST Investitionsgesellschaft mbH;HRB 12 655;HRB;Saarbrücken;2002
Arena Grundstücksverwaltungsgesellschaft mbH;HRB 12 739;HRB;Saarbrücken;2002
Saar-Pfalz-Autoland Aktiengesellschaft;HRB 12 760 ;HRB;Saarbrücken;2002
BBM - Becker Marketing GmbH;HRB 12 801 ;HRB;Saarbrücken;2002
Active-Power-GmbH;HRB 12 806 ;HRB;Saarbrücken;2002
DIP Systemtechnik GmbH;HRB 12 894 ;HRB;Saarbrücken;2002
BVG Baustahlarmierung GmbH;HRB 12 926 ;HRB;Saarbrücken;2002
FL Service GmbH;HRB 12 940 ;HRB;Saarbrücken;2002
No LIMITS Handels- und Dienstleistungs GmbH;HRB 12 944 ;HRB;Saarbrücken;2002
Armin Wagner GmbH;HRB 12 952;HRB;Saarbrücken;2002
ProTerra Umweltschutz- und Managementberatung GmbH;HRB 12 972 ;HRB;Saarbrücken;2002
AppliTech GmbH;HRB 13 033 ;HRB;Saarbrücken;2002
Genetrack GmbH;HRB 13 066 ;HRB;Saarbrücken;2002
A. Schuh GmbH;HRB 13 119 ;HRB;Saarbrücken;2002
CIRRUS Technik GmbH;HRB 13 168 ;HRB;Saarbrücken;2002
EURA DÖNER Vertriebs GmbH Rheinland-Pfalz;HRB 13 350 ;HRB;Saarbrücken;2002
Pro-Service GmbH;HRB 13 357 ;HRB;Saarbrücken;2002
Massivhaus Lorson GmbH;HRB 13 395 ;HRB;Saarbrücken;2002
AVG Anlagen-Verwaltung GmbH & Co. KG;HRA 1435;HRA;Schleiden;2002
MK Holz Verwaltungs-GmbH;HRB 1061;HRB;Schleiden;2002
KKT Kaller Kunststoff Technik GmbH;HRB 1090;HRB;Schleiden;2002
Ernst Barlach Vermögensverwaltungsgesellschaft mbH & Co. KG;HRA 1128;HRA;Schleswig;2002
Soluta GmbH;HRB 368;HRB;Schmallenberg;2002
Schmid & Odak GmbH Baumaschinen und Hydraulik Service;HRB 1973;HRB;Schwäbisch Gmünd;2002
Maier-Klier Rollladenbau GmbH;HRB 1978;HRB;Schwäbisch Gmünd;2002
STE-WE GmbH;HRB 1999;HRB;Schwäbisch Gmünd;2002
Via Insegna new fashion GmbH;HRB 2014;HRB;Schwäbisch Gmünd;2002
Lidl Vertriebs-GmbH & Co. KG;HRA 799;HRA;Schwäbisch Hall;2002
SiQS GmbH;HRB 1030;HRB;Schwäbisch Hall;2002
Epple Fertigungs-Technik GmbH;HRB 1538;HRB;Schwäbisch Hall;2002
Scholpp Projektspedition Süd GmbH;HRB 1586;HRB;Schwäbisch Hall;2002
Schneider Präzisionstechnik GmbH;HRB 725;HRB;Schwäbisch Hall;2002
Portas Fachbetrieb Dieter Huber GmbH Schreinerei;HRB 726;HRB;Schwäbisch Hall;2002
Greinke GmbH & Co. KG;HRA 797;HRA;Schwarzenbek;2002
Greinke Beteiligungsgesellschaft mbH;HRB 1295;HRB;Schwarzenbek;2002
von Borstel Heizungsbau OHG;HRA 5440;HRA;Schweinfurt;2002
Stahl- und Apparatebau Schuster GmbH & Co KG;HRA 7160;HRA;Schweinfurt;2002
ZEHNER Fachmarkt GmbH;HRB 4089;HRB;Schweinfurt;2002
KARO GmbH;HRB 4110;HRB;Schweinfurt;2002
Akademie Heiligenfeld GmbH;HRB 4120;HRB;Schweinfurt;2002
DREMO Verwaltungs GmbH;HRB 4158;HRB;Schweinfurt;2002
Immoflex GmbH;HRB 4185;HRB;Schweinfurt;2002
Dorst Tankstellen GmbH;HRB 4217;HRB;Schweinfurt;2002
AFZ - Personalvermittlung und Service GmbH;HRB 4229;HRB;Schweinfurt;2002
H-P-Automobile GmbH;HRB 2119;HRB;Schwelm;2002
red gambel GmbH;HRB 2130;HRB;Schwelm;2002
Nolde Speditions GmbH;HRB 2180;HRB;Schwelm;2002
NEWTEC Gesellschaft für Kommunikations- und Bezahlsysteme mbH;HRB 7491;HRB;Schwerin;2002
BGM Bauelemente GmbH;HRB 7626;HRB;Schwerin;2002
CREATIV-BAU WISMAR GmbH;HRB 7663;HRB;Schwerin;2002
PCC Parchimer Call Center GmbH;HRB 7718;HRB;Schwerin;2002
GPN Gesellschaft für Personalentwicklung Nord GmbH;HRB 7745;HRB;Schwerin;2002
Baltica-Massiv-Haus GmbH;HRB 7750;HRB;Schwerin;2002
ATM Ingenieurgesellschaft mbH Zweigniederlassung Schwerin;HRB 7776;HRB;Schwerin;2002
ISB GmbH;HRB 2072;HRB;Schwerte;2002
Richtsatz-Express Vertriebs-GmbH;HRB 23 435;HRB;Seligenstadt;2002
Druckservice Rodgau GmbH;HRB 23 459;HRB;Seligenstadt;2002
EUWERTA Gesellschaft für Sachwertstrategien mbH;HRB 23 465;HRB;Seligenstadt;2002
medfein Entwicklungs- und Handels-GmbH;HRB 23 515;HRB;Seligenstadt;2002
Heydt & Reims GmbH;HRB 23 519;HRB;Seligenstadt;2002
Life Line Einrichtungshaus Hennef GmbH & Co. KG;HRA 3555;HRA;Siegburg;2002
Life Line Einrichtungshaus Sankt Augustin GmbH & Co. KG;HRA 3556;HRA;Siegburg;2002
Ewald Denker Metallwaren Gesellschaft mit beschränkter Haftung & Co. Kommanditgesellschaft;HRA 3568;HRA;Siegburg;2002
Stadtwerke Niederkassel;HRA 3570;HRA;Siegburg;2002
CT-Zentrum für kardiologisch-radiologische Diagnostik Bonn/Rhein-Sieg/Euskirchen GmbH & Co. KG;HRA 3583;HRA;Siegburg;2002
BT Controlling KG;HRA 4192;HRA;Siegburg;2002
Dr. Scheuten Vermögensverwaltungs-GmbH;HRB 6418;HRB;Siegburg;2002
Frank Walterscheid GmbH;HRB 6460;HRB;Siegburg;2002
Magan Holding Germany GmbH;HRB 6470;HRB;Siegburg;2002
ENGINEERING PARTNER GMBH;HRB 6577;HRB;Siegburg;2002
dynaRENT Altersversorgungs-GmbH;HRB 7408;HRB;Siegburg;2002
NTTelcoTechnicGmbH;HRB 8137;HRB;Siegburg;2002
CEW Verwaltungsgesellschaft mbH & Co. KG;HRA 6404;HRA;Siegen;2002
HOFFMANN Mechanik GmbH & Co. KG;HRA 6457;HRA;Siegen;2002
Born Bauunternehmung GmbH;HRB 5615;HRB;Siegen;2002
Gervision GmbH;HRB 5668;HRB;Siegen;2002
Gmeiner-Verlag GmbH;HRB 1091;HRB;Sigmaringen;2002
startUp Center Radolfzell GmbH;HRB 660 ;HRB;Singen;2002
Giese Elektrotechnik GmbH;HRB 666 ;HRB;Singen;2002
Ruhland Elektrotechnik GmbH;HRB 667 ;HRB;Singen;2002
workingsystems software und consulting GmbH;HRB 668 ;HRB;Singen;2002
MTEC GmbH Gesellschaft für Innovation - Automation - Verfahrenstechnik Anlagen- und Maschinenbau;HRB 682 ;HRB;Singen;2002
BürgerWIND Hewingsen GmbH & Co. KG;HRA 2327;HRA;Soest;2002
Fitness-Apart GmbH;HRB 2666;HRB;Soest;2002
RL Markisen GmbH;HRB 2670;HRB;Soest;2002
d-tails d-luxe GmbH & Co. KG;HRA 8834;HRA;Solingen;2002
MOTO FORZA OHG;HRA 8855;HRA;Solingen;2002
Bernd Ernst GmbH;HRB 5030;HRB;Solingen;2002
TTC GmbH;HRB 5055;HRB;Solingen;2002
W.E.G. Immobilien GmbH & Co.KG;HRA 3745;HRA;Stade;2002
KASPER Filmproduktion GmbH;HRB 6266;HRB;Stade;2002
Madame Modehaus Gesellschaft mit beschränkter Haftung Zweigniederlassung Stade;HRB 6280;HRB;Stade;2002
Paradiesfrucht GmbH;HRB 6341;HRB;Stade;2002
Engelking Vermögensverwaltungs GmbH & Co. KG;HRA 1815;HRA;Stadthagen;2002
Ahnser Holzbau Weihmann GmbH;HRB 2011;HRB;Stadthagen;2002
FlexNet GmbH;HRB 2035;HRB;Stadthagen;2002
Allied-Visions GmbH;HRB 2124;HRB;Stadthagen;2002
Vision Crystal Technology AG;HRB 2247;HRB;Stadthagen;2002
Hallenbau und Vermietung Heinker & Isenbügel GmbH & Co. KG;HRA 2804;HRA;Steinfurt;2002
Forchem GmbH;HRB 3402;HRB;Steinfurt;2002
Niehues Vermögensverwaltungs GmbH;HRB 3440;HRB;Steinfurt;2002
Publimedia GmbH;HRB 3450;HRB;Steinfurt;2002
BioConstruct Gesellschaft zur Errichtung von umweltfreundlichen Energieerzeugungsanlagen mbH;HRB 3749;HRB;Stendal;2002
Burg Automobil Vertriebsgesellschaft mbH;HRB 3790;HRB;Stendal;2002
Eichstedter Agrar GmbH;HRB 3797;HRB;Stendal;2002
Pferde & Handel GmbH Krumke;HRB 3819;HRB;Stendal;2002
Holger Schulze Bauunternehmen GmbH;HRB 3861;HRB;Stendal;2002
Märkischer Mineralsand GmbH;HRB 3940;HRB;Stendal;2002
ART-Umwelt GmbH;HRB 3958;HRB;Stendal;2002
SLG Service und Logistikgesellschaft Relzow mbH;HRB 5395;HRB;Stralsund;2002
Wohn-Service Miltzow GmbH;HRB 5431;HRB;Stralsund;2002
Städtebau- und Projektentwicklungsgesellschaft mbH;HRB 5494;HRB;Stralsund;2002
Ristorante-Pizzeria Isola Bella GmbH;HRB 5522;HRB;Stralsund;2002
Handelsgesellschaft mbH Wedding;HRB 5577;HRB;Stralsund;2002
Lidl Vertriebs-GmbH & Co. KG;HRA 2321;HRA;Straubing;2002
VO31 Beteiligungs-GmbH;HRB 10 855;HRB;Straubing;2002
Pro-Service-GmbH;HRB 10 878;HRB;Straubing;2002
Karlheinz Reichert Vermögensverwaltung GmbH & Co KG;HRA 13457;HRA;Stuttgart;2002
Parkplatzmanagement Semperoper GmbH & Co. KG;HRA 13475;HRA;Stuttgart;2002
voltwerk Solarpark 124 GmbH & Co. KG;HRA 13549;HRA;Stuttgart;2002
Analytisches Institut Bostel GmbH & Co. KG;HRA 13558;HRA;Stuttgart;2002
Grub GmbH & Co. KG;HRA 13632;HRA;Stuttgart;2002
voltwerk Solarpark 118 GmbH & Co. KG;HRA13543;HRA;Stuttgart;2002
L o y Hoch- und Tiefbau GmbH;HRB 22580;HRB;Stuttgart;2002
WHB GmbH Wohnheim & Hotelbetriebsgesellschaft;HRB 22609;HRB;Stuttgart;2002
Dannecker Baubetreuung GmbH geändert in: Binder Bau-GmbH;HRB 22747;HRB;Stuttgart;2002
ARC Marketing und Management GmbH;HRB 22828;HRB;Stuttgart;2002
Autopan International Import- u. Export GmbH;HRB 22885;HRB;Stuttgart;2002
Versicherungs-Kontor Süd GmbH;HRB 22965;HRB;Stuttgart;2002
Applied Consulting GmbH;HRB 22982;HRB;Stuttgart;2002
OTTO Bedachungs GmbH;HRB 22986;HRB;Stuttgart;2002
Team Bau Service Center GmbH;HRB 23039;HRB;Stuttgart;2002
QS Landwirtschaftliche Qualitätssicherung Baden-Württemberg GmbH;HRB 23063;HRB;Stuttgart;2002
ABT GmbH;HRB 23071;HRB;Stuttgart;2002
