firm;date;hrid;postcode;city;hrsection
Media Markt CCXLVII TV-HiFi-Elektro GmbH Ingolstadt; 24. August 2007;HRB 4483;85049;Ingolstadt;HRB
GVB Verwaltungsgesellschaft mbH; 1. Oktober 2007;HRB 4485;85049;Ingolstadt;HRB
Media Markt CCXLVIII TV-HiFi-Elektro GmbH Ingolstadt; 24. August 2007;HRB 4471;85049;Ingolstadt;HRB
Wagenrad'l GmbH; 1. August 2007;HRB 4441;85049;Ingolstadt;HRB
Indilog GmbH; 15. Juni 2007;HRB 4404;85049;Ingolstadt;HRB
Johann Wieser GmbH; 21. Februar 2007;HRB 4328;85049;Ingolstadt;HRB
JURAPUTZ LTD.; 1. Oktober 2007;HRB 4486;85049;Ingolstadt;HRB
BREITER KOSMETIK MEDIZIN TECHNIK GmbH; 24. August 2007;HRB 4479;85049;Ingolstadt;HRB
ABEX GmbH; 22. Januar 2007;HRB 4298;85049;Ingolstadt;HRB
Schmidt Agrarhandel GmbH; 14. Mai 2007;HRB 4395;85049;Ingolstadt;HRB
Heinrich und Walter Dahmen Verwaltungs-GmbH; 19. Januar 2007;HRB 6191;58636;Iserlohn;HRB
Maschinenfabrik Bock GmbH & Co. KG; 12. Oktober 2007;HRA 4344;58636;Iserlohn;HRA
Chopz & Cruiz Verwaltungs GmbH; 12. Oktober 2007;HRB 6351;58636;Iserlohn;HRB
FMC Hademare-Center GmbH; 10. August 2007;HRB 6322;58636;Iserlohn;HRB
TH GmbH; 28. Dezember 2007;HRB 6391;58636;Iserlohn;HRB
Manß Reisen GmbH; 12. Oktober 2007;HRB 6345;58636;Iserlohn;HRB
X-HEAD LTD; 19. Januar 2007;HRB 6183;58636;Iserlohn;HRB
HAD Hagener Automatendienst GmbH; 19. November 2007;HRB 6367;58636;Iserlohn;HRB
Nippa Aviation Holding GmbH; 10. Dezember 2007;HRB 6376;58636;Iserlohn;HRB
DAS! Waldhaus Am Franzosenhohl GmbH; 10. August 2007;HRB 6324;58636;Iserlohn;HRB
DS energy GmbH; 15. August 2007;HRB 501765;7745;Jena;HRB
Global Lightz GmbH; 9. Mai 2007;HRB 501437;7745;Jena;HRB
Essen-Service Arndt Ltd.; 15. August 2007;HRB 501758;7745;Jena;HRB
IMMO GROUP Project Alpha GmbH; 14. November 2007;HRB 502031;7745;Jena;HRB
eZono AG; 2. Mai 2007;HRB 501391;7745;Jena;HRB
Rainer W. Horn - gewerblicher An- und Verkauf sowie Vermietung von beweglichen Wirtschaftsgütern; 26. Februar 2007;HRA 500443;7745;Jena;HRA
Eiscafe Parkcenter GmbH; 5. Dezember 2007;HRB 502089;7745;Jena;HRB
APO CARE Pflegedienst GmbH; 1. März 2007;HRB 501207;7745;Jena;HRB
Seebauer - Service-GmbH; 21. November 2007;HRB 502057;7745;Jena;HRB
billigweg.de Reisen GmbH; 15. August 2007;HRB 501766;7745;Jena;HRB
Wilfert-Versicherungsvermittlung GmbH; 18. Dezember 2007;HRB 502142;7745;Jena;HRB
P & P Bayern Süd GmbH; 30. März 2007;HRB 501299;7745;Jena;HRB
Schott Solar Wafer GmbH; 15. März 2007;HRB 501253;7745;Jena;HRB
VERUMDIREKT Beratungsgesellschaft mbH; 15. August 2007;HRB 501763;7745;Jena;HRB
MKM Cars GmbH; 1. März 2007;HRB 501201;7745;Jena;HRB
Geektank Labs GmbH; 12. Dezember 2007;HRB 502117;7745;Jena;HRB
IHT - GmbH; 2. Februar 2007;HRB 501117;7745;Jena;HRB
AdiCash GmbH; 26. September 2007;HRB 501879;7745;Jena;HRB
Beratende Ingenieure Akustik-Statik-Ausführungsplanung SHN GmbH; 2. Mai 2007;HRB 501396;7745;Jena;HRB
Anton Gensler Verwaltungs GmbH; 26. Januar 2007;HRB 501080;7745;Jena;HRB
Fleischerei Malz KG; 15. März 2007;HRA 500473;7745;Jena;HRA
Gewinnspielpiraten Limited; 19. September 2007;HRB 501859;7745;Jena;HRB
PMG Spezitex GmbH; 22. August 2007;HRB 501779;7745;Jena;HRB
ATVANTIS Financial Distribution GmbH; 2. Februar 2007;HRB 501101;7745;Jena;HRB
Spedition Ronald Schnur GmbH; 11. Januar 2007;HRB 501013;7745;Jena;HRB
jenacon foundation gemeinnützige GmbH; 11. Januar 2007;HRB 501009;7745;Jena;HRB
Meininger Hotels mit Flair-Verwaltungs GmbH; 15. August 2007;HRB 501744;7745;Jena;HRB
wir-bauen-aus Limited; 19. Februar 2007;HRB 501164;7745;Jena;HRB
Soeffing & Ehemann Konservenfabrik GmbH & Co. KG; 4. April 2007;HRA 500498;7745;Jena;HRA
GRAUL Limited; 29. August 2007;HRB 501802;7745;Jena;HRB
STAFEMO GmbH & Co. KG; 17. Januar 2007;HRA 500388;7745;Jena;HRA
InHaTec24 Innovative Haustechnik Limited; 22. August 2007;HRB 501780;7745;Jena;HRB
DO Kinder- und Jugendhilfe gGmbH; 26. Januar 2007;HRB 501093;7745;Jena;HRB
Palladio Bremen GmbH & Co. KG; 9. Mai 2007;HRA 500529;7745;Jena;HRA
Berkemann GmbH & Co. KG; 29. August 2007;HRA 500666;7745;Jena;HRA
Bautrockenlegung R. Petzold GmbH; 18. Dezember 2007;HRB 502127;7745;Jena;HRB
Finger Fashion GmbH; 4. Mai 2007;HRB 30291;67655;Kaiserslautern;HRB
ts consulting GmbH; 12. Juli 2007;HRB 30315;67655;Kaiserslautern;HRB
Fehr Dienstleistungs-GmbH; 21. Mai 2007;HRB 14266;34117;Kassel;HRB
stockshop.de Limited; 30. Juli 2007;HRB 14321;34117;Kassel;HRB
metaku Metallkunst Liegenschaften GmbH & Co. KG; 21. Mai 2007;HRA 16551;34117;Kassel;HRA
BeTraNet Ltd.; 5. September 2007;HRB 14342;34117;Kassel;HRB
Niguma-Transporte GmbH & Co. KG; 7. Mai 2007;HRA 16546;34117;Kassel;HRA
XtraCom GmbH; 12. Juni 2007;HRB 14279;34117;Kassel;HRB
Grundstücksgesellschaft Schlegel mbH & Co. KG; 15. Oktober 2007;HRA 8764;87435;Kempten (Allgäu);HRA
KADIX Verpackungstechnik GmbH; 12. März 2007;HRB 9368;87435;Kempten (Allgäu);HRB
ISMA Institut für systemisches Management GmbH; 21. Mai 2007;HRB 9441;87435;Kempten (Allgäu);HRB
TimbersignS Verwaltungs GmbH; 12. März 2007;HRB 9360;87435;Kempten (Allgäu);HRB
Investorenda GmbH; 15. Oktober 2007;HRB 9585;87435;Kempten (Allgäu);HRB
Ost-West-Projekt GmbH; 27. Dezember 2007;HRB 9645;87435;Kempten (Allgäu);HRB
Golfzentrum Oberstaufen GmbH & Co. KG; 29. Januar 2007;HRA 8659;87435;Kempten (Allgäu);HRA
Sheridan Center Projekt Verwaltungs-GmbH; 25. September 2007;HRB 9568;87435;Kempten (Allgäu);HRB
HWW Verwaltungs-GmbH; 29. Januar 2007;HRB 9321;87435;Kempten (Allgäu);HRB
Hutler Elektro Verwaltungs GmbH; 13. August 2007;HRB 9528;87435;Kempten (Allgäu);HRB
Lang-Steudler GmbH & Co. KG; 2. Juli 2007;HRA 8722;87435;Kempten (Allgäu);HRA
Bioenergie Trent Verwaltungs GmbH; 11. Juli 2007;HRB 9091 KI;24114;Kiel;HRB
GLEICH 3. Verwaltungs GmbH; 14. August 2007;HRB 9201 KI;24114;Kiel;HRB
spl Consulting GmbH; 19. September 2007;HRB 9272 KI;24114;Kiel;HRB
Charly's Fashion Store GmbH; 16. Juli 2007;HRB 9110 KI;24114;Kiel;HRB
LFT Autozubehör GmbH; 17. August 2007;HRB 9213 KI;24114;Kiel;HRB
Nexis Faserwerke GmbH & Co. KG; 8. Mai 2007;HRA 5616 KI;24114;Kiel;HRA
HuT-Bau GmbH; 28. Dezember 2007;HRB 9521 KI;24114;Kiel;HRB
Southend Managing GmbH; 15. Februar 2007;HRB 8720 KI;24114;Kiel;HRB
KIN GmbH; 29. November 2007;HRB 9436 KI;24114;Kiel;HRB
HPE Hanseatic Private Equity AG; 27. Dezember 2007;HRB 9522 KI;24114;Kiel;HRB
Mobile-Solutions GmbH; 26. September 2007;HRB 9281 KI;24114;Kiel;HRB
Sunbike GmbH; 21. August 2007;HRB 9222 KI;24114;Kiel;HRB
BEA Hanstedt II GmbH & Co. KG; 23. Oktober 2007;HRA 5860 KI;24114;Kiel;HRA
QSX Datenschmiede GmbH; 19. März 2007;HRB 8813 KI;24114;Kiel;HRB
ECHOSENS Deutschland GmbH; 16. Juli 2007;HRB 9101 KI;24114;Kiel;HRB
König & Cie. Deutsche Leben GmbH & Co. KG; 21. März 2007;HRA 5570 KI;24114;Kiel;HRA
FMC Grundstücksgesellschaft Fachmarktcenter Herne mbH; 6. August 2007;HRB 9190 KI;24114;Kiel;HRB
Birthe & Oliver Domnick Hotelbetriebsgesellschaft mbH; 16. Oktober 2007;HRB 9333 KI;24114;Kiel;HRB
192. Vermögensverwaltung Kleiner Kiel GmbH; 22. Juni 2007;HRB 9039 KI;24114;Kiel;HRB
gmtmedia GmbH; 27. Juli 2007;HRB 9155 KI;24114;Kiel;HRB
baupro Limited; 18. Juli 2007;HRB 9122 KI;24114;Kiel;HRB
Yieeha Ltd. & Co. KG; 4. Juni 2007;HRA 5662 KI;24114;Kiel;HRA
Borkowski & Repphun oHG; 5. Dezember 2007;HRA 5904 KI;24114;Kiel;HRA
Einhunderteinundsechzigste STV Vermögensverwaltungsgesellschaft mbH; 27. März 2007;HRB 8827 KI;24114;Kiel;HRB
Hansetrade Consulting GmbH; 12. Juni 2007;HRB 9002 KI;24114;Kiel;HRB
DACH & WAND LTD.; 14. August 2007;HRB 9204 KI;24114;Kiel;HRB
coop Grundstücksgesellschaft Kronshagen Suchsdorfer Weg GmbH & Co. KG; 4. September 2007;HRA 5790 KI;24114;Kiel;HRA
BTB BORCHERT TROCKENBAU GmbH; 27. Februar 2007;HRB 8730 KI;24114;Kiel;HRB
DHM Deutsche Hörmedien (GmbH & Co.) KG; 19. Oktober 2007;HRA 5859 KI;24114;Kiel;HRA
Freie Pflegezentrale Kappeln GmbH; 27. November 2007;HRB 9430 KI;24114;Kiel;HRB
Tosun Baugesellschatt mbH; 30. November 2007;HRB 9448 KI;24114;Kiel;HRB
Einhundertsechsundsechzigste STV Vermögensverwaltungsgesellschaft mbH; 15. Mai 2007;HRB 8938 KI;24114;Kiel;HRB
JK-GeschäftsführungsGmbH; 8. Juni 2007;HRB 8994 KI;24114;Kiel;HRB
DaHauSa Limited; 11. Dezember 2007;HRB 9462 KI;24114;Kiel;HRB
Pirelli DGAG Deutsche Grundvermögen GmbH; 13. März 2007;HRB 8775 KI;24114;Kiel;HRB
TiLs Frischfleisch GmbH; 12. Oktober 2007;HRB 8839;47533;Kleve;HRB
CertMobile LTD.; 21. Juni 2007;HRB 8603;47533;Kleve;HRB
Apfel & Waschke Datentechnik OHG; 1. Juni 2007;HRA 3093;47533;Kleve;HRA
Schwebs GmbH; 12. Januar 2007;HRB 8455;47533;Kleve;HRB
OEKOPLAN Gesellschaft für Umweltplanung mbH; 18. Mai 2007;HRB 8632;47533;Kleve;HRB
KLEVIS Cartaxo Vermögensverwaltungs-GmbH; 26. Oktober 2007;HRB 8861;47533;Kleve;HRB
Event-Brigade GmbH & Co. KG; 6. August 2007;HRA 3111;47533;Kleve;HRA
Recypack GmbH; 2. März 2007;HRB 8518;47533;Kleve;HRB
Lohmann und Oymann Verwaltungs-GmbH; 14. Dezember 2007;HRB 8920;47533;Kleve;HRB
Green Horizon GmbH; 10. August 2007;HRB 8753;47533;Kleve;HRB
Dammertz & Dörfer OHG; 16. Februar 2007;HRA 3040;47533;Kleve;HRA
BAKO GmbH; 16. April 2007;HRB 20640;56068;Koblenz;HRB
Koch Process-Technologies GmbH & Co. KG; 23. Oktober 2007;HRA 20361;56068;Koblenz;HRA
Fenske Verwaltungs GmbH; 23. Januar 2007;HRB 20530;56068;Koblenz;HRB
Trebian Beteiligungs- u. Investmentgesellschaft mbH; 16. April 2007;HRB 20626;56068;Koblenz;HRB
KWK Grundstücks KG; 16. April 2007;HRA 20291;56068;Koblenz;HRA
Oberhauser Holzhandel GmbH; 3. Mai 2007;HRB 20675;56068;Koblenz;HRB
PLM ProblemlöserMittelstand GmbH; 2. Oktober 2007;HRB 20867;56068;Koblenz;HRB
Conradi GmbH; 6. November 2007;HRB 20910;56068;Koblenz;HRB
MEB - Engineering GmbH; 14. Juni 2007;HRB 20711;56068;Koblenz;HRB
\'d6ren Bau GmbH; 2. Oktober 2007;HRB 20852;56068;Koblenz;HRB
Sprengnetter Immobilien GmbH & Co KG; 20. Dezember 2007;HRA 20387;56068;Koblenz;HRA
W & K-Immobilien GmbH; 2. Oktober 2007;HRB 20873;56068;Koblenz;HRB
SchöFra GmbH & Co. KG; 13. August 2007;HRA 20329;56068;Koblenz;HRA
Sanitätshaus Wagener GmbH & Co. KG; 28. Juni 2007;HRA 1443;34497;Korbach;HRA
Liftgemeinschaft Köhlerhagen Verwaltungs GmbH; 15. November 2007;HRB 1589;34497;Korbach;HRB
J. Becker Stahlbau GmbH; 2. August 2007;HRB 11594;47798;Krefeld;HRB
Mekkafood GmbH & Co. KG; 23. August 2007;HRA 5602;47798;Krefeld;HRA
BZ Botenzustellung Krefeld GmbH; 16. Mai 2007;HRB 11502;47798;Krefeld;HRB
Knipping Consulting Ltd. & Co KG; 26. April 2007;HRA 5559;47798;Krefeld;HRA
BCH-Bier KG; 16. Mai 2007;HRA 5567;47798;Krefeld;HRA
FNG - Fliesen und Natursteingesellschaft mbH; 30. August 2007;HRB 11628;47798;Krefeld;HRB
Herbert + Anita Hoffmann oHG; 13. September 2007;HRA 5610;47798;Krefeld;HRA
ProCon Projekt- & Contract Management für Industrieprodukte GmbH; 29. März 2007;HRB 11439;47798;Krefeld;HRB
R. Winning Malerteam GmbH; 31. Oktober 2007;HRB 11708;47798;Krefeld;HRB
THINK COMPANY CONSULTING LIMITED; 6. Juni 2007;HRB 11525;47798;Krefeld;HRB
WH Stahlbau Anlagen Limited; 20. September 2007;HRB 11655;47798;Krefeld;HRB
Satia GmbH; 19. Juli 2007;HRB 11579;47798;Krefeld;HRB
IFM-Institut für Managementberatung GmbH; 15. November 2007;HRB 11726;47798;Krefeld;HRB
Akthima GmbH & Co. KG; 23. August 2007;HRA 5601;47798;Krefeld;HRA
MILBRU GmbH; 12. Juli 2007;HRB 11568;47798;Krefeld;HRB
Friedrich Maas Beteiligungs-GmbH; 8. März 2007;HRB 11418;47798;Krefeld;HRB
CMS Wohn- und Pflegezentrum Bergeck GmbH; 11. Juni 2007;HRB 60500;50670;Köln;HRB
Kolibri 85. GmbH; 30. August 2007;HRB 61163;50670;Köln;HRB
Portixol Enterprises Verwaltung GmbH; 8. Oktober 2007;HRB 61508;50670;Köln;HRB
SKS Kölner Connection Verwaltungs-GmbH; 5. Februar 2007;HRB 59617;50670;Köln;HRB
Affaires Media GmbH; 28. Juni 2007;HRB 60649;50670;Köln;HRB
gp expo Limited; 16. Februar 2007;HRB 59705;50670;Köln;HRB
K & K Projektmanagement GmbH; 3. Mai 2007;HRB 60237;50670;Köln;HRB
NTS Neue Technologien und Software GmbH; 1. März 2007;HRB 59790;50670;Köln;HRB
Neumann Montagebau GmbH & Co. KG; 13. Februar 2007;HRA 24639;50670;Köln;HRA
Stadtentwicklungsgesellschaft mit beschränkter Haftung Overath (SEGO); 27. März 2007;HRB 59999;50670;Köln;HRB
Nyestädter Buchhandlung NB GmbH; 7. Februar 2007;HRB 59634;50670;Köln;HRB
Zimmer Verwaltungs GmbH; 9. März 2007;HRB 59843;50670;Köln;HRB
Michels AG; 13. Juli 2007;HRB 60801;50670;Köln;HRB
matris GmbH & Co. KG; 26. April 2007;HRA 24887;50670;Köln;HRA
PAVENDO GmbH; 13. September 2007;HRB 61286;50670;Köln;HRB
DELTA DREIHUNDERTSECHSUNDSECHZIG Unternehmensverwaltungs-GmbH; 19. September 2007;HRB 61364;50670;Köln;HRB
AXA Real Invest Europa I Luxemburg 1 GmbH; 22. November 2007;HRB 61830;50670;Köln;HRB
ELBE GmbH; 25. September 2007;HRB 61407;50670;Köln;HRB
Monroe Park Projektentwicklungs GmbH; 29. Mai 2007;HRB 60427;50670;Köln;HRB
Star Cologne Finanzdienstleistungs-GmbH & Co. Vermittlungs-KG; 9. Mai 2007;HRA 24908;50670;Köln;HRA
Vollmann Trade & Logistic Limited; 4. Dezember 2007;HRB 61945;50670;Köln;HRB
Promofinder GmbH; 27. Dezember 2007;HRB 62077;50670;Köln;HRB
Finest Factory GmbH; 16. Februar 2007;HRB 59713;50670;Köln;HRB
Jupiter Zwei Kommanditgesellschaft; 1. März 2007;HRA 24701;50670;Köln;HRA
Rentimmo GmbH; 25. September 2007;HRB 61393;50670;Köln;HRB
Vivacon Erwerber Portfolio XXIX./2007 GmbH; 25. Juni 2007;HRB 60610;50670;Köln;HRB
Tennispark Bornheim Roswitha Schwarzer KG; 19. März 2007;HRA 24764;50670;Köln;HRA
Mainzer Bauunternehmung GmbH; 27. April 2007;HRB 60194;50670;Köln;HRB
SwissBiss Limited; 4. April 2007;HRB 60046;50670;Köln;HRB
Dritte MONTI Immobiliengesellschaft mbH & Co. KG; 19. Juni 2007;HRA 25033;50670;Köln;HRA
A.M. MAFI GmbH; 24. Januar 2007;HRB 59519;50670;Köln;HRB
Protecta Inkasso GmbH; 4. Dezember 2007;HRB 61929;50670;Köln;HRB
DOMEDIA GmbH; 13. September 2007;HRB 61319;50670;Köln;HRB
Kolibri 92. GmbH; 8. Oktober 2007;HRB 61479;50670;Köln;HRB
GS Trading & Consulting Ltd. & Co.KG; 28. November 2007;HRA 25517;50670;Köln;HRA
ABC-Beschaffungs-GmbH; 10. Oktober 2007;HRB 61531;50670;Köln;HRB
Pesch Beteiligungsgesellschaft mbH; 26. November 2007;HRB 61869;50670;Köln;HRB
Fornahl Grundbesitz GmbH & Co. KG; 20. Dezember 2007;HRA 25585;50670;Köln;HRA
SGHO Strukturgesellschaft Hämatologie und Onkologie Verwaltung GmbH; 21. Juni 2007;HRB 60592;50670;Köln;HRB
MAURITIUS 44. Vermögensverwaltungs GmbH; 6. Dezember 2007;HRB 61959;50670;Köln;HRB
Medientechnik Werheit GmbH; 3. Juli 2007;HRB 60698;50670;Köln;HRB
Segner Dachtechnik GmbH; 15. Januar 2007;HRB 59367;50670;Köln;HRB
HDI-Gerling Leben Betriebsservice GmbH; 12. April 2007;HRB 60108;50670;Köln;HRB
DR Commercial 1 AG; 31. Mai 2007;HRB 60441;50670;Köln;HRB
RTR Rheinland Transport und Recycling Limited; 19. September 2007;HRB 61362;50670;Köln;HRB
Vfw GmbH; 25. Juli 2007;HRB 60865;50670;Köln;HRB
R.S. GmbH; 16. Januar 2007;HRB 59458;50670;Köln;HRB
B.effective GmbH & Co. KG; 29. Mai 2007;HRA 24969;50670;Köln;HRA
LappLand Waschstraße Wuppertal GmbH; 22. November 2007;HRB 61843;50670;Köln;HRB
PKW Koeln Car Trading GmbH; 1. Februar 2007;HRB 59608;50670;Köln;HRB
CGI Capital Global Invest GmbH; 22. Mai 2007;HRB 60375;50670;Köln;HRB
Heizung & Sanitär Mirko Gülden GmbH & Co. KG; 15. März 2007;HRA 24746;50670;Köln;HRA
Cologne Catering Concepts Ltd. & Co. KG; 24. April 2007;HRA 24870;50670;Köln;HRA
Moveguard GmbH; 18. April 2007;HRB 60133;50670;Köln;HRB
McGlas GmbH; 10. Oktober 2007;HRB 61513;50670;Köln;HRB
Rodio Mediterranes Bauen GmbH; 6. Juni 2007;HRB 60492;50670;Köln;HRB
SAIAC Home & Garden GmbH; 9. Februar 2007;HRB 59664;50670;Köln;HRB
Nösse Datentechnik Geschäftsführungs-GmbH; 15. März 2007;HRB 59883;50670;Köln;HRB
A d v i s i o Treuhand & Revision Gummersbach Kommanditgesellschaft Wirtschaftsprüfungsgesellschaft Steuerberatungsgesellschaft; 20. Dezember 2007;HRA 25581;50670;Köln;HRA
BPV Brock Planung und Vertrieb im Bauwesen Verwaltungsgesellschaft mbH; 8. August 2007;HRB 60979;50670;Köln;HRB
Hatchers Investions GmbH; 8. November 2007;HRB 61727;50670;Köln;HRB
Gelatiamo GmbH; 16. November 2007;HRB 61794;50670;Köln;HRB
Josef P. Hilgenberg GmbH; 13. Februar 2007;HRB 59694;50670;Köln;HRB
Gerda Lohre Verwaltungsgesellschaft mbH; 7. März 2007;HRB 59832;50670;Köln;HRB
FFP Media GmbH; 16. November 2007;HRB 61810;50670;Köln;HRB
Casino Zero GmbH; 27. Juli 2007;HRB 60890;50670;Köln;HRB
Eberhard Süße GmbH & Co. KG; 28. Dezember 2007;HRA 25606;50670;Köln;HRA
COMMIT communication GmbH & Co. KG; 17. September 2007;HRA 25298;50670;Köln;HRA
BULGARIS INTERNATIONAL PROPERTIES LIMITED; 17. September 2007;HRB 61323;50670;Köln;HRB
MRR Gaststättenbetriebsgesellschaft mbH; 22. November 2007;HRB 61829;50670;Köln;HRB
Mosbach & Mosbach Real Estate GmbH; 19. Juli 2007;HRB 60833;50670;Köln;HRB
Lindenberg Agriculture Bergisch Gladbach Block A GmbH & Co. KG; 14. August 2007;HRA 25200;50670;Köln;HRA
Glacier Insurance AG (Liechtenstein), Zweigniederlassung Köln; 27. Dezember 2007;HRB 62081;50670;Köln;HRB
coplanar design GmbH; 30. August 2007;HRB 61164;50670;Köln;HRB
BSC Bautechnik Services Consulting Limited; 3. Mai 2007;HRB 60245;50670;Köln;HRB
Consilium Achtundsechzigste GmbH & Co. Vorrats KG; 18. Dezember 2007;HRA 25569;50670;Köln;HRA
JUPITER SIEBENUNDNEUNZIG GmbH; 4. Juni 2007;HRB 60476;50670;Köln;HRB
Trade Credit Re Insurance Company S.A. Deutsche Niederlassung (TCRe Deutschland); 28. Dezember 2007;HRB 62129;50670;Köln;HRB
pso management & consulting GmbH; 6. Juni 2007;HRB 60490;50670;Köln;HRB
C4V Consulting for ventures GmbH; 28. Juni 2007;HRB 60670;50670;Köln;HRB
Vorsorge Plus Gesellschaft zur Vermittlung von Versicherungen mbH; 27. März 2007;HRB 59991;50670;Köln;HRB
Dr. Z. Zahnarztpraxis GmbH; 31. Juli 2007;HRB 60911;50670;Köln;HRB
Maru GmbH; 8. Oktober 2007;HRB 61506;50670;Köln;HRB
MGS Schneider GmbH; 4. April 2007;HRB 60049;50670;Köln;HRB
DuMont Venture Holding Verwaltungs- und Beteiligungs GmbH; 18. Oktober 2007;HRB 61586;50670;Köln;HRB
KKM Property GmbH & Co. KG; 27. September 2007;HRA 3185;61462;Königstein;HRA
twoman marketing GmbH & Co. KG; 21. März 2007;HRA 3157;61462;Königstein;HRA
B & F GmbH; 1. August 2007;HRB 6973;61462;Königstein;HRB
B-S RENOVIERUNGSBAU LIMITED Zweigniederlassung Bad Soden; 15. November 2007;HRB 7032;61462;Königstein;HRB
DMN GmbH, Development and Marketing of Nutriceuticals; 24. Oktober 2007;HRB 7020;61462;Königstein;HRB
Plöger Delikatessen GmbH; 24. Oktober 2007;HRB 7021;61462;Königstein;HRB
OPTIMA Holding GmbH; 22. August 2007;HRB 6984;61462;Königstein;HRB
IRIS Analytics GmbH; 11. April 2007;HRB 6902;61462;Königstein;HRB
Schilling Verwaltungs-GmbH; 1. Februar 2007;HRB 30167;76829;Landau;HRB
Alschu-Chemie GmbH; 1. August 2007;HRB 11056;76829;Landau;HRB
AGS-Enjoy Immobilien- und Finanzvermittlungs-GmbH; 2. Mai 2007;HRB 30195;76829;Landau;HRB
stein + natur gestaltung und handel gmbh; 1. Oktober 2007;HRB 30266;76829;Landau;HRB
C. Kröper Hochbau GmbH; 4. Juni 2007;HRB 30211;76829;Landau;HRB
Debi Select Verwaltungs GmbH; 14. Februar 2007;HRB 7098;84028;Landshut;HRB
Unterholzner Grundstücksverwaltungs GmbH & Co. KG; 19. Dezember 2007;HRA 9563;84028;Landshut;HRA
ATI GmbH; 4. Oktober 2007;HRB 7281;84028;Landshut;HRB
MAROLY München I Betriebs GmbH & Co. KG; 30. August 2007;HRA 9526;84028;Landshut;HRA
R0/SE Blechverarbeitung GmbH & Co. KG; 28. Februar 2007;HRA 9438;84028;Landshut;HRA
Bachmeier Immobilien GmbH & Co. KG Simbach; 24. Januar 2007;HRA 9417;84028;Landshut;HRA
Zentrifugen-Allianz Verwaltungs-GmbH; 27. Juni 2007;HRB 7202;84028;Landshut;HRB
HIH Dörnhofer Rechtsanwaltsgesellschaft mbH; 17. Januar 2007;HRB 7069;84028;Landshut;HRB
K + K Wohnbau- und Immobilien GmbH; 16. August 2007;HRB 7253;84028;Landshut;HRB
Flexxaire Europe GmbH; 21. März 2007;HRB 7119;84028;Landshut;HRB
Spanner nano AG; 11. Juli 2007;HRB 7224;84028;Landshut;HRB
W. Hausbeck GmbH; 18. April 2007;HRB 7136;84028;Landshut;HRB
MB Windenergie Verwaltungs GmbH; 9. Mai 2007;HRB 7156;84028;Landshut;HRB
Sciodare GmbH; 16. August 2007;HRB 23420;4275;Leipzig;HRB
Villa Clara-Zetkin-Park-Objektgesellschaft GmbH & Co. KG; 20. Dezember 2007;HRA 15426;4275;Leipzig;HRA
CMC Lechland Beteiligungsgesellschaft mbH; 1. Juni 2007;HRB 23240;4275;Leipzig;HRB
Beeings Internet GmbH; 13. September 2007;HRB 23490;4275;Leipzig;HRB
Smart4Mobile GmbH; 1. Juni 2007;HRB 23239;4275;Leipzig;HRB
EXAKTA Pack Deutschland GmbH; 15. März 2007;HRB 23064;4275;Leipzig;HRB
Malerservice Heinze GmbH; 18. Juli 2007;HRB 23352;4275;Leipzig;HRB
Acticon AG & Co. Beratungs KG; 13. September 2007;HRA 15350;4275;Leipzig;HRA
ergon aktiv homeservice GmbH; 19. April 2007;HRB 23147;4275;Leipzig;HRB
Lilie 32. V V GmbH; 9. August 2007;HRB 23411;4275;Leipzig;HRB
MOReITs Limited; 22. November 2007;HRB 23650;4275;Leipzig;HRB
PAV Joachim Schultz Limited; 23. August 2007;HRB 23432;4275;Leipzig;HRB
MLW Construction GmbH; 13. Dezember 2007;HRB 23708;4275;Leipzig;HRB
HR Service-GmbH & Co. Römhild KG; 16. Januar 2007;HRA 15180;4275;Leipzig;HRA
BAUWERK Projektentwicklungs-, Planungs- und Projektsteuerungsgesellschaft Ltd. & Co. KG; 27. Dezember 2007;HRA 15427;4275;Leipzig;HRA
Novotec Energie GmbH; 1. November 2007;HRB 23595;4275;Leipzig;HRB
Pro3 TradeCon GmbH; 15. November 2007;HRB 23629;4275;Leipzig;HRB
Avimex Sachsen GmbH; 3. Mai 2007;HRB 23185;4275;Leipzig;HRB
Bautevent GmbH; 22. Februar 2007;HRB 23013;4275;Leipzig;HRB
HVS-Frohburg Limited; 20. Dezember 2007;HRB 23730;4275;Leipzig;HRB
MaRes Marktforschung GmbH; 3. Mai 2007;HRB 23183;4275;Leipzig;HRB
SHU Sanitär-, Heizungs- und Umwelttechnik GmbH; 13. Dezember 2007;HRB 23696;4275;Leipzig;HRB
CB Liegenschaften GmbH; 2. August 2007;HRB 23395;4275;Leipzig;HRB
MOF Erste Verwaltungs GmbH; 1. November 2007;HRB 23601;4275;Leipzig;HRB
CG Leipziger Immobilien-Bauträgergesellschaft mbh & Co. KG; 20. Dezember 2007;HRA 15425;4275;Leipzig;HRA
db Leasing GmbH; 20. September 2007;HRB 23501;4275;Leipzig;HRB
Saxonia-Catering GmbH & Co. KG; 15. November 2007;HRA 15395;4275;Leipzig;HRA
Parkresidenz Hartenfels GmbH & Co. KG; 27. September 2007;HRA 15361;4275;Leipzig;HRA
GBB Bau GmbH; 1. März 2007;HRB 23032;4275;Leipzig;HRB
City-Post für Döbeln und Oschatz GmbH & Co.KG; 5. April 2007;HRA 15243;4275;Leipzig;HRA
