name,registry_type,registry_id,registry_court,structure,capital,capital_currency,entry_day,entry_month,entry_year,deletion,deletion_month,deletion_year,balance,address,post_code,city,search_policy
G. S. Handel und Dienstleistungs GmbH,HRB,200425,Aurich,Gesellschaft mit beschränkter Haftung,25000.0,EUR,08,06,2007,22,04,2009,False,Unter den Eichen 5,26188,Edewecht,1
Jens Haan Beteiligungsgesellschaft mbH,HRB,200281,Aurich,Gesellschaft mit beschränkter Haftung,25000.0,EUR,23,01,2007,,,,False,Alleestraße 51,26506,Norden,1
Connect1 IT-Services & Consulting GmbH,HRB,10317,Bad Oeynhausen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,02,01,2007,17,01,2019,False,Industriestr. 1,32584,Löhne,1
G. Stüssel GmbH & Co. KG,HRA,6984,Bad Oeynhausen,Kommanditgesellschaft,,,07,03,2007,21,12,2016,False,Komturstraße 24,32052,Herford,1
Smart-Research GmbH,HRB,10632,Bad Oeynhausen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,26,09,2007,12,06,2018,False,Borsigstraße 3,32105,Bad Salzuflen,1
Aue-Markt Pr. Ströhen GmbH & Co. KG,HRA,7017,Bad Oeynhausen,Kommanditgesellschaft,,,07,05,2007,,,,False,Preussisch-Ströher-Allee 27 a,32369,Rahden,1
Kimu GmbH,HRB,10487,Bad Oeynhausen,Gesellschaft mit beschränkter Haftung,256000.0,EUR,11,06,2007,20,03,2014,False,Hannoversche Straße 8,49328,Melle,1
Niemann Holding GmbH,HRB,10645,Bad Oeynhausen,Gesellschaft mit beschränkter Haftung,75000.0,EUR,17,10,2007,,,,False,Hedemer Str. 4,32361,Preußisch Oldendorf,1
rococom Verwaltungs GmbH,HRB,10622,Bad Oeynhausen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,20,09,2007,,,,False,Am Hainebuch 25,32457,Porta Westfalica,1
HM Hoch und Tiefbau GmbH,HRB,10479,Bad Oeynhausen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,29,05,2007,,,,False,Flagenstraße 14,32584,Löhne,1
INNCONA GmbH & Co. Einhundertundsiebzehnte Rendite Leasing KG,HRA,6885,Bad Oeynhausen,Kommanditgesellschaft,,,08,01,2007,12,12,2008,False,Lindenweg 5,82223,Eichenau,1
Zweite Edeka-Markt Minden-Hannover GmbH,HRB,10521,Bad Oeynhausen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,09,07,2007,,,,False,Wittelsbacherallee 61,32427,Minden,1
Naturenergie Ostwestfalen GmbH & Co. KG,HRA,7118,Bad Oeynhausen,Kommanditgesellschaft,,,10,10,2007,18,04,2011,False,Gärtnerstraße 27,32120,Hiddenhausen,1
BauFaG GmbH & Co.KG,HRA,7080,Bad Oeynhausen,Kommanditgesellschaft,,,14,08,2007,16,11,2011,False,Deitzkamp 3,32609,Hüllhorst,1
Wittkötter hair & beauty center GmbH & Co. KG,HRA,7159,Bad Oeynhausen,Kommanditgesellschaft,,,14,12,2007,,,,False,Herforder Straße 124,32257,Bünde,1
INNCONA GmbH & Co. Zweihundertundachtzehnte Rendite Leasing KG,HRA,6820,Bad Oeynhausen,Kommanditgesellschaft,,,29,12,2006,10,09,2009,False,Richmodstr. 6,50667,Köln,1
Schröder Geschäftsführung GmbH,HRB,10346,Bad Oeynhausen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,24,01,2007,,,,False,Dieselstraße 17,32120,Hiddenhausen,1
Grundstücksverwaltungsgesellschaft Geschwister Südmersen KG,HRA,7047,Bad Oeynhausen,Kommanditgesellschaft,,,15,06,2007,,,,False,Valdorfer Straße 11,32545,Bad Oeynhausen,1
K.T.W. Abwassertechnik Limited,HRB,10643,Bad Oeynhausen,Rechtsform ausl. Rechts HRB,,,12,10,2007,14,09,2011,False,Landeshuter Str. 1,32469,Petershagen,1
Schulte International GmbH,HRB,10423,Bad Oeynhausen,Gesellschaft mit beschränkter Haftung,102000.0,EUR,31,03,2007,,,,False,Von-Puttkammer-Str. 7,32549,Bad Oeynhausen,1
Rohlfing Werbung GmbH,HRB,10388,Bad Oeynhausen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,22,02,2007,,,,False,An der Weide 1,32457,Porta Westfalica,1
ARGAL Deutschland GmbH,HRB,10325,Bad Oeynhausen,Gesellschaft mit beschränkter Haftung,1918500.0,EUR,09,01,2007,11,07,2012,False,Severingstr. 36,32052,Herford,1
Sigurd Simon Verwaltungsgesellschaft mbH,HRB,10725,Bad Oeynhausen,Gesellschaft mit beschränkter Haftung,25000.0,EUR,20,12,2007,,,,False,Krähenwinkel 4,32425,Minden,1
Schwalm Robotic GmbH,HRB,2207,Bad Hersfeld,Gesellschaft mit beschränkter Haftung,25000.0,EUR,07,12,2007,,,,False,Industriestrasse 16,36251,Bad Hersfeld-Asbach,1
REWE-Markt Sumilo oHG,HRA,1536,Bad Hersfeld,Offene Handelsgesellschaft,,,13,04,2007,,,,False,Kasseler Straße 70 - 74,36199,Rotenburg a. d. Fulda,1
Thomas Verwaltungs GmbH,HRB,20415,Bad Kreuznach,Gesellschaft mit beschränkter Haftung,25200.0,EUR,10,10,2007,,,,False,Rüdesheimer Straße 17,55595,Roxheim,1
